transaction_reference,authorization_number,primary_account_number,card_bin_number,card_suffix,card_expiry_date,card_product_type,account_type,transaction_date,transaction_time,local_date,local_time,transaction_amount_inr,transaction_currency_code,settlement_amount,settlement_currency,transaction_code,transaction_description,merchant_identifier,merchant_business_name,mcc_code,merchant_location_city,merchant_location_state,merchant_country_code,merchant_postal_code,merchant_phone,terminal_identifier,pos_entry_capability,pos_cardholder_presence,card_present_indicator,authorization_response_code,response_code,response_description,approval_date,address_verification_result,cvv_verification_result,cvv_presence_indicator,acquiring_institution_id,acquiring_bin,issuing_bin,visa_network_reference,interchange_reimbursement_fee,service_charge,network_processing_fee,gst_amount,retrieval_reference_number,system_trace_audit_number,batch_identifier,settlement_date,fraud_detection_score,risk_assessment,secure_3d_auth_status,secure_3d_eci,bank_name,data_source,record_created_timestamp
SBI000000004235,AUTH0004235,453231******2341,453231,2341,2710,VISA,SAVINGS,20251213,231057,20251213,231057,6356.63,356,,,200000,ATM WITHDRAWAL,SBI956309,Wagle-Ramachandran,4121,Ahmedabad,Odisha,IND,117206,0055733807,TERM905139,81,0,0,,14,Do not honor,20251213,Y,N,0,SBI00001,453232,453231,VISA6371382333,82.42,36.54,2.08,10.89,RRN0000004235,004235,BATCH90138,20251214,,HIGH,Y,,SBI,SBI_BANK,2026-01-04T23:10:57.493879
SBI000000006013,AUTH0006013,453234******1207,453234,1207,3007,VISA,CREDIT,20251226,231057,20251226,231057,5814.2,356,,,010000,ATM WITHDRAWAL,SBI858274,Barman-Hayer,5732,Mumbai,Odisha,IND,652935,+919738079914,TERM198749,90,2,1,A93719,14,Do not honor,20251226,A,P,0,SBI00001,453233,453234,VISA5347576462,40.13,5.76,,11.76,RRN0000006013,006013,BATCH66969,20251227,692.0,LOW,Y,07,SBI,SBI_BANK,2026-01-04T23:10:57.706192
SBI000000004903,AUTH0004903,453231******2335,453231,2335,2711,VISA,SAVINGS,20251228,231057,20251228,231057,441.66,356,,,010000,REFUND,SBI943342,"Soman, Bhavsar and Shah",5942,Hyderabad,Tamil Nadu,IND,,05296942691,TERM258857,90,1,1,A54897,00,Insufficient funds,20251228,S,N,1,SBI00001,453231,453231,VISA2210753267,13.09,38.3,,,RRN0000004903,004903,BATCH97040,20251230,,,Y,,SBI,SBI_BANK,2026-01-04T23:10:57.574164
SBI000000004494,AUTH0004494,642210******8453,642210,8453,2903,VISA,CREDIT,20251224,231057,20251224,231057,1671.69,356,,,000000,ATM WITHDRAWAL,SBI839180,Khosla Group,5691,Hyderabad,Mizoram,IND,772395,,TERM766029,90,2,0,,91,Approved,20251224,U,S,1,SBI00001,453231,642210,VISA5799226742,,38.59,9.99,27.53,RRN0000004494,004494,BATCH90301,20251225,19.0,MEDIUM,A,06,SBI,SBI_BANK,2026-01-04T23:10:57.527241
SBI000000004699,AUTH0004699,453234******6948,453234,6948,3010,VISA,SAVINGS,20251217,231057,20251217,231057,7556.36,356,,,010000,REFUND,SBI895783,Raghavan-Sridhar,,Lucknow,Andhra Pradesh,IND,714712,,TERM607794,02,0,0,A70022,61,Insufficient funds,20251217,A,S,1,SBI00001,453234,453234,VISA6961906533,87.63,26.16,6.36,12.96,RRN0000004699,004699,BATCH23051,20251219,153.0,MEDIUM,N,,SBI,SBI_BANK,2026-01-04T23:10:57.552938
SBI000000005003,AUTH0005003,453233******5906,453233,5906,2701,VISA,SAVINGS,20251211,231057,20251211,231057,3240.46,356,,,010000,ONLINE PAYMENT,SBI597471,Chana and Sons,7011,Kolkata,Haryana,IND,237095,+912148904011,TERM530880,90,0,0,A39215,05,Insufficient funds,20251211,U,U,0,SBI00001,453234,453233,VISA4911619945,62.81,38.89,5.99,15.46,RRN0000005003,005003,BATCH88063,20251213,72.0,MEDIUM,U,05,SBI,SBI_BANK,2026-01-04T23:10:57.589883
SBI000000004401,AUTH0004401,453231******7295,453231,7295,2911,VISA,CREDIT,20251210,231057,20251210,231057,8050.83,356,,,000000,REFUND,SBI413009,"Kapoor, Keer and Devi",4121,Lucknow,Gujarat,IND,420753,1433161669,TERM498729,05,0,1,A74469,91,Approved,20251210,N,N,1,SBI00001,453234,453231,VISA9603132713,,7.68,4.73,17.25,RRN0000004401,004401,BATCH52333,20251211,509.0,HIGH,U,,SBI,SBI_BANK,2026-01-04T23:10:57.517522
SBI000000006422,AUTH0006422,453233******6856,453233,6856,2605,VISA,CURRENT,20251220,231057,20251220,231057,2612.37,356,,,010000,ONLINE PAYMENT,SBI240109,Iyer and Sons,5942,Delhi,West Bengal,IND,732721,02864116927,TERM968065,05,1,0,A70389,14,Do not honor,20251220,P,U,0,SBI00001,453231,453233,VISA3278496681,,12.35,4.45,10.13,RRN0000006422,006422,BATCH96266,20251221,,,U,,SBI,SBI_BANK,2026-01-04T23:10:57.750818
SBI000000006452,AUTH0006452,453233******7309,453233,7309,2605,VISA,CREDIT,2026-01-03,231057,20260103,231057,513.23,356,,,200000,POS PURCHASE,SBI500584,Bath Group,5311,Delhi,Uttarakhand,IND,,4760310777,TERM997610,05,1,1,A35339,91,Insufficient funds,20260103,P,P,0,SBI00001,453232,453233,VISA2290839264,,,15.71,13.39,RRN0000006452,006452,BATCH14506,20260105,,,U,07,SBI,SBI_BANK,2026-01-04T23:10:57.753851
SBI000000005871,AUTH0005871,453234******9505,453234,9505,2908,VISA,CREDIT,20260103,231057,20260103,231057,3246.49,356,,,000000,POS PURCHASE,SBI710850,Hora-Babu,,Lucknow,Madhya Pradesh,IND,166009,,TERM686510,05,0,0,A86887,00,Do not honor,20260103,S,M,0,SBI00001,453232,453234,VISA8479191933,58.36,6.52,17.16,,RRN0000005871,005871,BATCH28672,20260105,,LOW,N,06,SBI,SBI_BANK,2026-01-04T23:10:57.690180
SBI000000005912,AUTH0005912,453231******2954,453231,2954,2901,VISA,CREDIT,20251217,231057,20251217,231057,-9295.2,356,,,200000,POS PURCHASE,SBI549455,"Bahri, Varma and Ahuja",5651,Chennai,Karnataka,IND,517272,7498758402,TERM724872,05,2,0,A49387,51,Insufficient funds,20251217,A,M,1,SBI00001,453232,453231,VISA5168167443,79.7,15.35,,23.26,RRN0000005912,005912,BATCH45453,20251219,,LOW,A,07,SBI,SBI_BANK,2026-01-04T23:10:57.693415
SBI000000004511,AUTH0004511,453234******6999,453234,6999,2710,VISA,CREDIT,2025-12-25,231057,20251225,231057,6745.43,356,,,200000,ONLINE PAYMENT,SBI528219,Choudhury Ltd,5921,Jaipur,Tamil Nadu,IND,,5444847920,TERM896724,81,2,0,A74051,14,Insufficient funds,20251225,S,N,1,SBI00001,453234,453234,VISA4973442142,88.98,11.51,11.18,14.74,RRN0000004511,004511,BATCH89306,20251226,707.0,,A,,SBI,SBI_BANK,2026-01-04T23:10:57.529765
SBI000000006121,AUTH0006121,453231******4911,453231,4911,2810,VISA,CURRENT,20251224,231057,20251224,231057,157.76,356,,,010000,POS PURCHASE,SBI700163,"Date, Ghose and Joshi",5311,Hyderabad,Haryana,IND,872662,,TERM608569,90,0,0,A58623,51,Do not honor,20251224,Y,S,0,SBI00001,453232,453231,VISA2777882460,28.56,39.95,3.61,29.93,RRN0000006121,006121,BATCH64634,20251225,98.0,HIGH,N,07,SBI,SBI_BANK,2026-01-04T23:10:57.717975
SBI000000007145,AUTH0007145,453231******3410,453231,3410,3001,VISA,CREDIT,2025-12-26,231057,20251226,231057,9444.69,356,,,010000,POS PURCHASE,SBI640307,"Zachariah, Saha and Cherian",5691,Hyderabad,Himachal Pradesh,IND,294502,0306656930,TERM928756,90,2,0,A09038,05,Do not honor,20251226,P,M,1,SBI00001,453232,453231,VISA4579271224,,17.68,6.81,28.83,RRN0000007145,007145,BATCH51615,20251227,,,A,05,SBI,SBI_BANK,2026-01-04T23:10:57.829177
SBI000000007426,AUTH0007426,453232******6590,453232,6590,2806,VISA,CURRENT,20260101,231057,20260101,231057,6380.38,356,,,010000,REFUND,SBI209726,Jani LLC,5411,Mumbai,Maharashtra,IND,530453,,TERM723973,05,2,0,A70577,00,Do not honor,20260101,N,M,1,SBI00001,453231,453232,VISA4278120305,,23.26,12.81,5.54,RRN0000007426,007426,BATCH83474,20260103,,LOW,Y,,SBI,SBI_BANK,2026-01-04T23:10:57.860247
SBI000000007420,AUTH0007420,453234******5685,453234,5685,2805,VISA,CURRENT,20251215,231057,20251215,231057,4938.26,356,,,010000,ATM WITHDRAWAL,SBI715496,"Minhas, Koshy and Sarin",5541,Pune,West Bengal,IND,524174,,TERM225454,05,1,1,A66470,14,Do not honor,20251215,U,U,0,SBI00001,453234,453234,VISA7609026247,31.97,20.96,,9.62,RRN0000007420,007420,BATCH74798,20251216,108.0,LOW,Y,,SBI,SBI_BANK,2026-01-04T23:10:57.860247
SBI000000005903,AUTH0005903,453234******2225,453234,2225,2711,VISA,CURRENT,20251225,231057,20251225,231057,7778.5,356,,,200000,REFUND,SBI498029,Ram-Nayar,5814,Hyderabad,Maharashtra,IND,634009,07390607277,TERM478423,90,1,0,A23657,51,Do not honor,20251225,U,S,0,SBI00001,453232,453234,VISA5006474758,49.16,37.32,4.2,,RRN0000005903,005903,BATCH39079,20251227,686.0,MEDIUM,N,,SBI,SBI_BANK,2026-01-04T23:10:57.693415
SBI000000005013,AUTH0005013,453234******5804,453234,5804,2601,VISA,CURRENT,20260101,231057,20260101,231057,4103.67,356,,,000000,ATM WITHDRAWAL,SBI457777,Tara-Tella,5691,Mumbai,Madhya Pradesh,IND,584535,07073854605,TERM150687,90,0,0,A21732,91,Do not honor,20260101,P,M,1,SBI00001,453232,453234,VISA5411010128,19.42,26.64,6.94,11.03,RRN0000005013,005013,BATCH30323,20260102,,HIGH,Y,,SBI,SBI_BANK,2026-01-04T23:10:57.589883
SBI000000006458,AUTH0006458,453234******6854,453234,6854,2706,VISA,CURRENT,20251230,231057,20251230,231057,962.72,356,,,000000,POS PURCHASE,SBI734032,Dara Group,5311,Lucknow,Gujarat,IND,301412,6101083015,TERM820544,05,0,0,A35278,05,Do not honor,20251230,P,U,1,SBI00001,453234,453234,VISA2874081101,97.68,,16.2,,RRN0000006458,006458,BATCH13538,20260101,,,N,07,SBI,SBI_BANK,2026-01-04T23:10:57.753851
SBI000000006387,AUTH0006387,453233******7498,453233,7498,3003,VISA,CREDIT,20251229,231057,20251229,231057,908.74,356,,,000000,ATM WITHDRAWAL,SBI849353,"Dewan, Sachdev and Iyengar",5411,Jaipur,Tripura,IND,243369,6171681383,TERM427085,90,2,1,A58178,14,Insufficient funds,20251229,N,S,0,SBI00001,453234,453233,VISA2786372403,,23.04,11.71,29.56,RRN0000006387,006387,BATCH32008,20251230,19.0,,N,,SBI,SBI_BANK,2026-01-04T23:10:57.742265
SBI000000004000,AUTH0004000,453231******7139,453231,7139,2807,VISA,CURRENT,11-12-2025,231057,20251211,231057,1708.25,356,,,000000,ONLINE PAYMENT,SBI344292,Rama-Ram,,Chennai,Assam,IND,816066,,TERM741523,02,1,1,A36077,05,Approved,20251211,U,U,1,SBI00001,453234,453231,VISA6804903643,52.88,9.13,9.36,5.99,RRN0000004000,004000,BATCH44864,20251213,,LOW,U,,SBI,SBI_BANK,2026-01-04T23:10:57.468516
SBI000000006831,AUTH0006831,453232******4580,453232,4580,2805,VISA,CURRENT,20251214,231057,20251214,231057,8635.2,356,,,010000,ATM WITHDRAWAL,SBI229150,Bir-Srinivas,7011,Bangalore,Mizoram,IND,488498,,TERM339676,02,2,1,A32250,05,Approved,20251214,N,N,1,SBI00001,453231,453232,VISA3786673733,,22.1,14.51,,RRN0000006831,006831,BATCH13772,20251215,,,Y,,SBI,SBI_BANK,2026-01-04T23:10:57.792796
SBI000000007030,AUTH0007030,453234******9835,453234,9835,2704,VISA,CURRENT,20251207,231057,20251207,231057,5545.37,356,,,000000,ONLINE PAYMENT,SBI197099,Raju-Nanda,,Bangalore,Karnataka,IND,672456,+915751943425,TERM890416,05,2,1,,14,Approved,20251207,S,N,1,SBI00001,453232,453234,VISA9598103367,53.2,5.58,,23.02,RRN0000007030,007030,BATCH78239,20251208,287.0,LOW,N,06,SBI,SBI_BANK,2026-01-04T23:10:57.817435
