txn_id,auth_id,pan,pan_first6,pan_last4,exp_date,card_brand,card_prod,txn_date,txn_time,txn_datetime,amt,curr,bill_amt,bill_curr,txn_type,proc_code,merch_id,merch_name,mcc,merch_city,merch_state,merch_country,merch_zip,term_id,pos_mode,pos_cond,auth_code,resp_code,resp_msg,avs,cvv,acq_id,acq_bin,iss_bin,net_ref,int_fee,net_fee,rrn,trace,batch,settle_date,fraud_flag,3ds,bank_name,data_source,record_created_at
IDBI0000009620,A00009620,453221******6248,453221,6248,1226,VISA,CREDIT,14/12/2025,23:10:58,,700.0,INR,,,01,000000,M910601,Golla PLC,5691,Hyderabad,,IN,,T32464,02,00,B349OA,91,Do not honor,,,IDBI0001,453221,453221,V310312224,93.26,19.76,R000000009620,009620,4885,15/12/2025,,N,IDBI,IDBI_BANK,2026-01-04T23:10:58.054213
IDBI0000009569,A00009569,453224******0571,453224,0571,0630,VISA,CREDIT,13/12/2025,23:10:58,,-9439.63,INR,,,01,000000,M796041,Sankaran LLC,4121,Jaipur,,IN,505048,T43266,05,00,M049KR,14,Do not honor,N,U,IDBI0001,453221,453224,V409730647,,,R000000009569,009569,5643,14/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:58.048733
IDBI0000008316,A00008316,453223******0646,453223,0646,0528,VISA,DEBIT,22/12/2025,23:10:57,,-1354.91,INR,,,01,000000,M746395,"Rau, Sabharwal and Chandra",5912,Mumbai,,IN,,T60469,02,00,B759MF,51,Insufficient funds,,,IDBI0001,453222,453223,V322555608,83.16,11.0,R000000008316,008316,9446,23/12/2025,,,IDBI,IDBI_BANK,2026-01-04T23:10:57.941135
IDBI0000008870,A00008870,825688******5953,825688,5953,1227,VISA,CREDIT,2025-12-16,23:10:57,,1837.21,INR,,,01,000000,M834188,Bahri PLC,,Chennai,,IN,973624,T76012,05,00,,05,Do not honor,N,M,IDBI0001,453223,825688,V437124001,78.93,,R000000008870,008870,9228,17/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:57.986934
IDBI0000007721,A00007721,453223******7409,453223,7409,0827,VISA,CREDIT,12/12/2025,23:10:57,,50.84,INR,,,00,000000,M331746,Shanker-Sidhu,5541,Jaipur,,IN,793571,T16129,05,00,D668XC,51,Insufficient funds,N,U,IDBI0001,453221,453223,V428251058,,,R000000007721,007721,3082,13/12/2025,,,IDBI,IDBI_BANK,2026-01-04T23:10:57.888246
IDBI0000008678,A00008678,453224******8611,453224,8611,0130,VISA,CREDIT,28/12/2025,23:10:57,,9759.97,INR,,,00,000000,M413486,Bakshi-Comar,,Mumbai,,IN,554840,T60019,02,00,Q644IU,91,Do not honor,N,M,IDBI0001,453221,453224,V840352960,,3.17,R000000008678,008678,8321,29/12/2025,,,IDBI,IDBI_BANK,2026-01-04T23:10:57.972227
IDBI0000009789,A00009789,453224******8903,453224,8903,1029,VISA,DEBIT,17/12/2025,23:10:58,,1323.37,INR,,,01,000000,M759964,Khurana-Ramakrishnan,5691,Mumbai,,IN,,T40930,81,00,D792IN,14,Do not honor,,N,IDBI0001,453223,453224,V716705326,98.97,,R000000009789,009789,7426,18/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:58.070377
IDBI0000009344,A00009344,453221******1350,453221,1350,0128,VISA,CREDIT,26/12/2025,23:10:58,,1033.31,INR,,,20,000000,M241907,Korpal Group,5999,,,IN,565335,T36991,02,00,O400UW,51,Do not honor,U,,IDBI0001,453221,453221,V554481598,60.91,,R000000009344,009344,6538,27/12/2025,,,IDBI,IDBI_BANK,2026-01-04T23:10:58.025471
IDBI0000008191,A00008191,453224******6378,453224,6378,0729,VISA,CREDIT,27/12/2025,23:10:57,,-1195.04,INR,,,00,000000,M796215,"Borde, Munshi and Parekh",,Delhi,,IN,276095,T83019,81,00,N308AD,14,Insufficient funds,N,M,IDBI0001,453224,453224,V233990482,82.9,11.3,R000000008191,008191,1089,28/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:57.931058
IDBI0000009622,A00009622,453224******2319,453224,2319,0328,VISA,DEBIT,2025-12-26,23:10:58,,8822.03,INR,,,00,000000,M851132,Ranganathan PLC,5814,Lucknow,,IN,,T34886,02,00,U125GE,05,Approved,N,U,IDBI0001,453221,453224,V861256088,90.08,3.37,R000000009622,009622,7204,27/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:58.054213
IDBI0000007856,A00007856,453222******7159,453222,7159,0928,VISA,CREDIT,17/12/2025,23:10:57,,8436.97,INR,,,20,000000,M627729,"Tara, Magar and Shere",4121,,,IN,,T27342,81,00,N489WY,51,Insufficient funds,N,,IDBI0001,453222,453222,V495546776,,2.92,R000000007856,007856,3424,18/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:57.898777
IDBI0000008699,A00008699,453222******4584,453222,4584,0528,VISA,CREDIT,26/12/2025,23:10:57,,7947.14,INR,,,00,000000,M869005,Mishra Inc,,Pune,,IN,993540,T27174,05,00,B024ME,51,Insufficient funds,,U,IDBI0001,453222,453222,V346349326,14.52,,R000000008699,008699,7654,27/12/2025,,N,IDBI,IDBI_BANK,2026-01-04T23:10:57.973227
IDBI0000007624,A00007624,453223******1072,453223,1072,1028,VISA,CREDIT,03/01/2026,23:10:57,,9836.8,INR,,,20,000000,M868881,"Pall, Prabhu and Raman",5812,Kolkata,,IN,464729,T64246,81,00,T419LP,91,Insufficient funds,Y,M,IDBI0001,453224,453223,V339589032,94.53,13.6,R000000007624,007624,5360,04/01/2026,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:57.873843
IDBI0000008532,A00008532,453223******5332,453223,5332,1229,VISA,CREDIT,10/01/2026,23:10:57,,2339.23,INR,,,00,000000,M571023,Tata LLC,5651,Pune,,IN,,T83769,81,00,R563EO,05,Do not honor,N,U,IDBI0001,453221,453223,V344609383,16.42,,R000000008532,008532,8210,17/12/2025,,,IDBI,IDBI_BANK,2026-01-04T23:10:57.960367
IDBI0000009987,A00009987,453223******7296,453223,7296,0626,VISA,DEBIT,27/12/2025,23:10:58,,3711.41,INR,,,00,000000,M781750,Keer Inc,5732,,,IN,431279,T55877,05,00,,14,Approved,U,U,IDBI0001,453222,453223,V215644883,21.18,,R000000009987,009987,2327,28/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:58.088170
IDBI0000009318,A00009318,451631******6043,451631,6043,0727,VISA,DEBIT,10/12/2025,23:10:58,,109.05,INR,,,01,000000,M592229,Bhakta Inc,,Mumbai,,IN,723975,T42079,02,00,,91,Approved,Y,,IDBI0001,453223,451631,V126285947,48.77,,R000000009318,009318,6717,11/12/2025,,,IDBI,IDBI_BANK,2026-01-04T23:10:58.024303
IDBI0000008463,A00008463,453224******5148,453224,5148,0427,VISA,DEBIT,29/12/2025,23:10:57,,3169.29,INR,,,01,000000,M155428,Shenoy-Dewan,,Ahmedabad,,IN,172226,T26513,05,00,W679CN,14,Insufficient funds,N,,IDBI0001,453222,453224,V974907908,,14.11,R000000008463,008463,4466,30/12/2025,,,IDBI,IDBI_BANK,2026-01-04T23:10:57.953679
IDBI0000009296,A00009296,453221******3459,453221,3459,0830,VISA,CREDIT,02/01/2026,23:10:58,,9399.71,INR,,,01,000000,M561577,,,,,IN,834379,T54414,81,00,C713VO,05,Approved,U,M,IDBI0001,453221,453221,V750650649,,15.52,R000000009296,009296,9838,03/01/2026,,N,IDBI,IDBI_BANK,2026-01-04T23:10:58.021232
IDBI0000009589,A00009589,453224******5253,453224,5253,0626,VISA,CREDIT,29/12/2025,23:10:58,,3691.65,INR,,,00,000000,M408481,"Saha, Raghavan and Rege",5732,Bangalore,,IN,469130,T65189,02,00,C188DN,14,Do not honor,U,N,IDBI0001,453223,453224,V838134168,,11.89,R000000009589,009589,6561,30/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:58.049750
IDBI0000008937,A00008937,453221******6107,453221,6107,0929,VISA,DEBIT,01/01/2026,23:10:57,,6057.15,INR,,,20,000000,M259882,Agate Group,5651,Ahmedabad,,IN,449828,T87243,81,00,I568YO,00,Insufficient funds,U,U,IDBI0001,453222,453221,V633946356,,5.63,R000000008937,008937,8329,02/01/2026,,,IDBI,IDBI_BANK,2026-01-04T23:10:57.991258
IDBI0000008978,A00008978,453222******8891,453222,8891,0628,VISA,DEBIT,19/12/2025,23:10:57,,3548.4,INR,,,00,000000,M934091,"Mand, Patel and Radhakrishnan",,Chennai,,IN,531765,T24315,05,00,R162GR,51,Do not honor,Y,,IDBI0001,453221,453222,V532804398,,13.71,R000000008978,008978,5714,20/12/2025,,N,IDBI,IDBI_BANK,2026-01-04T23:10:57.991258
IDBI0000009581,A00009581,453222******0050,453222,0050,0426,VISA,DEBIT,13/12/2025,23:10:58,,1167.44,INR,,,01,000000,M624918,"Naik, Badal and Dani",,,,IN,165887,T72894,02,00,F805AW,00,Do not honor,,M,IDBI0001,453221,453222,V853948004,,,R000000009581,009581,8320,14/12/2025,,N,IDBI,IDBI_BANK,2026-01-04T23:10:58.048733
IDBI0000007928,A00007928,396032******1716,396032,1716,1127,VISA,DEBIT,21/12/2025,23:10:57,,4835.72,INR,,,01,000000,M388329,"Gole, Gala and Vohra",5921,Pune,,IN,501184,T17765,81,00,Y118KR,51,Insufficient funds,,U,IDBI0001,453224,396032,V945916710,,,R000000007928,007928,7714,22/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:57.907792
IDBI0000008188,A00008188,198183******6569,198183,6569,0827,VISA,CREDIT,20/12/2025,23:10:57,,6351.89,INR,,,00,000000,M717524,Kara PLC,5311,Kolkata,,IN,,T12752,05,00,A041PR,00,Approved,U,,IDBI0001,453221,198183,V801926459,,4.97,R000000008188,008188,3066,21/12/2025,,,IDBI,IDBI_BANK,2026-01-04T23:10:57.930015
IDBI0000009670,A00009670,453222******9657,453222,9657,0529,VISA,DEBIT,16/12/2025,23:10:58,,8084.06,INR,,,00,000000,M104573,,5732,Jaipur,,IN,,T76503,81,00,K346KS,14,Approved,Y,M,IDBI0001,453224,453222,V523537786,,,R000000009670,009670,7298,17/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:58.060589
IDBI0000007833,A00007833,453223******3911,453223,3911,1130,VISA,CREDIT,2025-12-15,23:10:57,,9158.28,INR,,,20,000000,M994620,"Chada, Badal and Cherian",5311,Delhi,,IN,485138,T39777,05,00,J076PF,14,Do not honor,,,IDBI0001,453221,453223,V587192541,,,R000000007833,007833,7216,16/12/2025,,,IDBI,IDBI_BANK,2026-01-04T23:10:57.896767
IDBI0000009774,A00009774,453221******8200,453221,8200,0629,VISA,DEBIT,2025-12-06,23:10:58,,4661.64,INR,,,20,000000,M857006,Chada and Sons,,Jaipur,,IN,,T92725,02,00,,51,Do not honor,,N,IDBI0001,453221,453221,V334704571,,,R000000009774,009774,5272,07/12/2025,,,IDBI,IDBI_BANK,2026-01-04T23:10:58.070377
IDBI0000009936,A00009936,453221******7267,453221,7267,0728,VISA,DEBIT,21/12/2025,23:10:58,,8631.77,INR,,,20,000000,M714439,Sharaf PLC,5691,Lucknow,,IN,,T89160,05,00,,05,Do not honor,Y,,IDBI0001,453222,453221,V640708815,,17.33,R000000009936,009936,1392,22/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:58.083647
IDBI0000009713,A00009713,453221******2537,453221,2537,0928,VISA,CREDIT,28/12/2025,23:10:58,,3488.13,INR,,,01,000000,M637617,Deshmukh-Dalal,,,,IN,778110,T96283,81,00,O318RF,00,Approved,Y,M,IDBI0001,453222,453221,V344126433,,19.77,R000000009713,009713,2891,29/12/2025,,,IDBI,IDBI_BANK,2026-01-04T23:10:58.065093
IDBI0000009928,A00009928,453221******1437,453221,1437,0627,VISA,DEBIT,08/12/2025,23:10:58,,8542.14,INR,,,00,000000,M929160,Das-Khare,4121,,,IN,644146,T24738,05,00,X877PH,14,Approved,Y,U,IDBI0001,453224,453221,V858011494,,,R000000009928,009928,3426,09/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:58.082636
IDBI0000009345,A00009345,453224******9817,453224,9817,0929,VISA,DEBIT,20/12/2025,23:10:58,,-7617.0,INR,,,00,000000,M674911,Kapoor-Devi,,Chennai,,IN,,T94121,02,00,J494SR,00,Approved,,U,IDBI0001,453221,453224,V581993773,,,R000000009345,009345,6789,21/12/2025,,N,IDBI,IDBI_BANK,2026-01-04T23:10:58.025471
IDBI0000007591,A00007591,453221******6707,453221,6707,1230,VISA,DEBIT,20/12/2025,23:10:57,,5370.33,INR,,,01,000000,M241393,Pant Inc,5411,Ahmedabad,,IN,682962,T24290,05,00,H584HG,14,Insufficient funds,Y,N,IDBI0001,453221,453221,V380769292,83.8,,R000000007591,007591,1836,21/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:57.873843
IDBI0000008904,A00008904,453221******2843,453221,2843,0926,VISA,DEBIT,26/12/2025,23:10:57,,6278.31,INR,,,01,000000,M332264,Sem-Arora,5814,Kolkata,,IN,950226,T27498,05,00,P281AL,14,Approved,,,IDBI0001,453222,453221,V465776059,,19.98,R000000008904,008904,2525,27/12/2025,,,IDBI,IDBI_BANK,2026-01-04T23:10:57.989959
IDBI0000009156,A00009156,453222******3493,453222,3493,0828,VISA,DEBIT,2025-12-31,23:10:58,,1545.26,INR,,,01,000000,M156363,"Verma, Kari and Gokhale",5921,,,IN,,T79095,81,00,K815UD,14,Insufficient funds,N,,IDBI0001,453222,453222,V925915686,10.27,15.73,R000000009156,009156,6510,01/01/2026,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:58.010196
IDBI0000008874,A00008874,453224******5718,453224,5718,0230,VISA,DEBIT,24/12/2025,23:10:57,,527.03,INR,,,00,000000,M312198,"Mahajan, Deo and Kakar",,Lucknow,,IN,538260,T92735,02,00,E631QA,51,Do not honor,Y,U,IDBI0001,453224,453224,V455960679,,,R000000008874,008874,5960,25/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:57.986934
IDBI0000009310,A00009310,453221******3509,453221,3509,0828,VISA,CREDIT,2025-12-10,23:10:58,,-908.42,INR,,,20,000000,M853947,"Vala, Ben and Sabharwal",5661,,,IN,559394,T69323,02,00,C559SL,51,Insufficient funds,N,,IDBI0001,453221,453221,V867769031,,,R000000009310,009310,8537,11/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:58.022245
IDBI0000008259,A00008259,453221******1978,453221,1978,0529,VISA,CREDIT,2025-12-08,23:10:57,,8021.24,INR,,,00,000000,M873800,Khurana LLC,5912,Ahmedabad,,IN,230860,T23256,81,00,R017MQ,51,Do not honor,Y,M,IDBI0001,453221,453221,V515294640,,6.43,R000000008259,008259,5344,09/12/2025,,N,IDBI,IDBI_BANK,2026-01-04T23:10:57.936629
IDBI0000008598,A00008598,453221******6270,453221,6270,1129,VISA,DEBIT,13/01/2026,23:10:57,,-469.94,INR,,,20,000000,M703711,"Chander, Kakar and Goswami",,Mumbai,,IN,,T45520,02,00,J027UU,91,Insufficient funds,N,M,IDBI0001,453221,453221,V842971224,56.75,16.87,R000000008598,008598,8663,25/12/2025,,N,IDBI,IDBI_BANK,2026-01-04T23:10:57.965374
IDBI0000008195,A00008195,453222******8716,453222,8716,0130,VISA,DEBIT,29/12/2025,23:10:57,,8588.01,INR,,,01,000000,M233326,Saran and Sons,,Delhi,,IN,115666,T60440,81,00,O262EO,05,Approved,,,IDBI0001,453224,453222,V431934538,79.27,18.87,R000000008195,008195,9788,30/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:57.931058
IDBI0000008654,A00008654,453221******7827,453221,7827,0230,VISA,CREDIT,2025-12-21,23:10:57,,2840.69,INR,,,01,000000,M507967,Bhagat-Chaudhari,5311,Jaipur,,IN,,T75388,02,00,,00,Do not honor,N,N,IDBI0001,453224,453221,V683904193,,,R000000008654,008654,2212,22/12/2025,,N,IDBI,IDBI_BANK,2026-01-04T23:10:57.970222
IDBI0000009685,A00009685,453221******4186,453221,4186,1230,VISA,CREDIT,15/12/2025,23:10:58,,1625.7,INR,,,00,000000,M317740,Ahuja-Wason,5814,Chennai,,IN,311542,T66708,02,00,J782OG,05,Approved,U,U,IDBI0001,453223,453221,V733788438,20.85,13.0,R000000009685,009685,9096,16/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:58.063061
IDBI0000009603,A00009603,453224******2924,453224,2924,1030,VISA,DEBIT,22/12/2025,23:10:58,,3926.35,INR,,,20,000000,M232655,Lall-Singhal,5999,Ahmedabad,,IN,328899,T78282,05,00,X209IE,51,Do not honor,U,,IDBI0001,453224,453224,V835724016,26.78,17.74,R000000009603,009603,5200,23/12/2025,,N,IDBI,IDBI_BANK,2026-01-04T23:10:58.051332
IDBI0000008998,A00008998,453222******0529,453222,0529,0629,VISA,CREDIT,22/12/2025,23:10:57,,8444.69,INR,,,20,000000,M577453,Merchant-Rana,4121,Hyderabad,,IN,,T26416,02,00,P802SB,05,Approved,,M,IDBI0001,453221,453222,V369648479,91.15,,R000000008998,008998,5852,23/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:57.991258
IDBI0000008572,A00008572,453223******8072,453223,8072,1227,VISA,CREDIT,2025-12-21,23:10:57,,1986.99,INR,,,20,000000,M674858,Sankaran and Sons,,Mumbai,,IN,332168,T65266,05,00,J963UU,51,Approved,,M,IDBI0001,453222,453223,V613884702,,,R000000008572,008572,7716,22/12/2025,,,IDBI,IDBI_BANK,2026-01-04T23:10:57.960367
IDBI0000008668,A00008668,453223******0125,453223,0125,0729,VISA,DEBIT,23/12/2025,23:10:57,,3427.15,INR,,,01,000000,M106191,"Pingle, Dhawan and Oak",,Lucknow,,IN,739848,T25409,81,00,,51,Do not honor,U,N,IDBI0001,453223,453223,V332459162,,,R000000008668,008668,6915,24/12/2025,,N,IDBI,IDBI_BANK,2026-01-04T23:10:57.971226
IDBI0000008812,A00008812,453223******0759,453223,0759,0226,VISA,CREDIT,17/12/2025,23:10:57,,9676.21,INR,,,01,000000,M228365,Rana-Bahri,5814,Hyderabad,,IN,366120,T62562,05,00,M025BA,14,Insufficient funds,Y,U,IDBI0001,453223,453223,V796498906,96.05,,R000000008812,008812,6948,18/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:57.982243
IDBI0000007942,A00007942,453221******0472,453221,0472,0529,VISA,CREDIT,12/12/2025,23:10:57,,8107.73,INR,,,20,000000,M981219,Mistry Inc,5541,,,IN,994784,T52441,02,00,G226CI,14,Do not honor,N,M,IDBI0001,453222,453221,V657596351,,6.83,R000000007942,007942,8866,13/12/2025,,,IDBI,IDBI_BANK,2026-01-04T23:10:57.910159
IDBI0000009431,A00009431,453224******3946,453224,3946,0527,VISA,CREDIT,22/12/2025,23:10:58,,5499.01,INR,,,20,000000,M202392,"Sunder, Gulati and Balasubramanian",,Ahmedabad,,IN,921984,T65788,81,00,Q955NU,05,Insufficient funds,N,N,IDBI0001,453221,453224,V109371695,,,R000000009431,009431,8861,23/12/2025,,N,IDBI,IDBI_BANK,2026-01-04T23:10:58.033308
IDBI0000008513,A00008513,453221******5945,453221,5945,0228,VISA,DEBIT,11/12/2025,23:10:57,,6653.61,INR,,,00,000000,M764952,Manda Inc,5942,Mumbai,,IN,497131,T39959,02,00,Z132WP,14,Do not honor,,U,IDBI0001,453223,453221,V415261510,,,R000000008513,008513,5471,12/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:57.957594
IDBI0000007854,A00007854,453221******3099,453221,3099,0230,VISA,CREDIT,13/12/2025,23:10:57,,-6748.33,INR,,,00,000000,M301713,Chokshi-Baria,5411,Hyderabad,,IN,220370,T34890,02,00,Q424OP,51,Approved,,M,IDBI0001,453221,453221,V843627749,31.01,,R000000007854,007854,3647,14/12/2025,,,IDBI,IDBI_BANK,2026-01-04T23:10:57.897765
IDBI0000009119,A00009119,453221******1487,453221,1487,0628,VISA,CREDIT,2026-01-04,23:10:58,,1671.74,INR,,,20,000000,M615603,,5411,Jaipur,,IN,189249,T54755,02,00,K132XO,91,Do not honor,N,N,IDBI0001,453224,453221,V446908807,,,R000000009119,009119,5335,05/01/2026,,N,IDBI,IDBI_BANK,2026-01-04T23:10:58.007502
IDBI0000007625,A00007625,453224******0736,453224,0736,0129,VISA,DEBIT,2025-12-26,23:10:57,,9768.64,INR,,,00,000000,M518281,,,Bangalore,,IN,818697,T22355,02,00,P039RR,91,Do not honor,Y,M,IDBI0001,453222,453224,V355105314,27.33,,R000000007625,007625,9313,27/12/2025,,N,IDBI,IDBI_BANK,2026-01-04T23:10:57.873843
IDBI0000009112,A00009112,453224******2937,453224,2937,0730,VISA,CREDIT,2025-12-08,23:10:58,,5121.36,INR,,,01,000000,M503385,Dyal and Sons,5661,Delhi,,IN,432207,T26542,81,00,P715XD,05,Approved,N,M,IDBI0001,453224,453224,V875717558,,,R000000009112,009112,2714,09/12/2025,,N,IDBI,IDBI_BANK,2026-01-04T23:10:58.007502
IDBI0000008762,A00008762,453224******4841,453224,4841,1026,VISA,CREDIT,2025-12-16,23:10:57,,7981.3,INR,,,00,000000,M491896,,7011,Kolkata,,IN,723576,T57437,81,00,I208BR,00,Do not honor,U,,IDBI0001,453222,453224,V274645468,41.22,,R000000008762,008762,3913,17/12/2025,,,IDBI,IDBI_BANK,2026-01-04T23:10:57.977735
IDBI0000007604,A00007604,453222******4406,453222,4406,0826,VISA,DEBIT,07/12/2025,23:10:57,,8080.86,INR,,,20,000000,M526290,"Ram, Ahluwalia and Krishnamurthy",,Chennai,,IN,999644,T38916,81,00,H366MK,05,Do not honor,,N,IDBI0001,453222,453222,V595825402,,,R000000007604,007604,7177,08/12/2025,,,IDBI,IDBI_BANK,2026-01-04T23:10:57.873843
IDBI0000008949,A00008949,453223******2075,453223,2075,0426,VISA,CREDIT,03/01/2026,23:10:57,,8881.95,INR,,,00,000000,M281087,Anand LLC,5942,Pune,,IN,387445,T35950,02,00,D534PB,00,Insufficient funds,Y,N,IDBI0001,453221,453223,V738241025,39.87,9.03,R000000008949,008949,6828,04/01/2026,,N,IDBI,IDBI_BANK,2026-01-04T23:10:57.991258
IDBI0000008013,A00008013,453222******3316,453222,3316,0829,VISA,DEBIT,29/12/2025,23:10:57,,8733.65,INR,,,20,000000,M569049,"Andra, Mohanty and Mangal",5812,Delhi,,IN,,T39287,02,00,Z697MW,00,Approved,Y,,IDBI0001,453223,453222,V127000248,,,R000000008013,008013,8893,30/12/2025,,N,IDBI,IDBI_BANK,2026-01-04T23:10:57.916488
