txn_reference_number,authorization_id,card_number,card_bin,card_last_digits,card_expiry_mmyy,card_type,card_scheme,transaction_date,transaction_time,transaction_timestamp,transaction_amount,transaction_currency,billing_amount,billing_currency,transaction_type_code,transaction_type_desc,processing_code,merchant_id,merchant_name,merchant_category_code,merchant_category_desc,merchant_city,merchant_state,merchant_country,merchant_postal_code,merchant_address,terminal_id,pos_entry_mode,pos_condition_code,card_present_flag,auth_code,response_code,response_message,auth_date,avs_result,cvv_result,cvv_provided,acquirer_id,acquirer_bin,issuer_bin,network_reference,interchange_fee,service_tax,network_fee,retrieval_reference_number,trace_number,batch_number,settlement_date,fraud_score,risk_category,3ds_authenticated,3ds_version,bank_name,data_source,record_created_at
CITI0000000010,AUTH00000010,453246******0867,453246,867,10/27,DISCOVER,CREDIT,2025-12-07,04:30:29,2025-12-07T04:30:29.669198,19836.39,INR,,,20.0,REFUND,0.0,CITI759226,Kaur-Kurian,5691.0,,Chennai,Bihar,USA,293513.0,,TRM17405,5.0,6.0,N,A521GS,96,,2025-12-07,Y,S,N,CITI0001,453245.0,453246,VISA791564592,59.02,31.9,,REF000000000010,10.0,B3225,2025-12-09,59.0,,U,2.1,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000011,AUTH00000011,453242******0320,453242,320,02/30,DISCOVER,PREPAID,2025-11-09,04:30:29,2025-11-09T04:30:29.670732,24775.52,EUR,,,1.0,VOID,0.0,CITI163092,Batta LLC,5812.0,,Lucknow,Gujarat,USA,106766.0,,TRM44648,90.0,2.0,N,A665ZZ,91,,2025-11-09,E,,Y,CITI0001,453242.0,453242,VISA957301748,183.25,,11.7,REF000000000011,11.0,B8714,2025-11-11,100.0,HIGH,U,,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000012,AUTH00000012,453243******4548,453243,4548,10/32,MASTERCARD,PREPAID,2025-11-21,04:30:29,2025-11-21T04:30:29.670732,22788.74,INR,,,0.0,PURCHASE,20000.0,CITI436444,Sachdeva-Prabhakar,5812.0,,Jaipur,,SGP,982956.0,"056, Karpe Chowk",TRM54716,81.0,1.0,N,A434GS,0,,2025-11-21,,S,Y,CITI0001,453246.0,453243,VISA166355401,,,,REF000000000012,12.0,,2025-11-22,,,,,CITI,CITI_BANK,2026-01-05T04:30:29.670732
13,AUTH00000013,000000******0000,0,0,10/32,MASTERCARD,DEBIT,2025-11-15,04:30:29,2025-11-15T04:30:29.670732,23542.43,INR,,,21.0,PREAUTH,0.0,CITI385266,"Murthy, Kamdar and Krish",,,Delhi,,US,917097.0,,TRM88581,81.0,8.0,Y,A647WF,63,,2025-11-15,,,N,CITI0001,453242.0,0,VISA218880730,,7.94,,REF000000000013,13.0,B7981,2025-11-16,100.0,,Y,2.2,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000014,AUTH00000014,453244******2119,453244,2119,04/32,MASTERCARD,PREPAID,2025-11-17,04:30:29,2025-11-17T04:30:29.670732,19013.86,INR,,,20.0,PREAUTH,0.0,,,4121.0,,Bangalore,Manipur,ARE,993058.0,,TRM32065,81.0,2.0,Y,A641GS,0,,2025-11-17,,M,N,CITI0001,453246.0,453244,VISA714499425,,,,REF000000000014,14.0,B3834,2025-11-18,38.0,HIGH,Y,1.0,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000015,AUTH00000015,453245******0813,453245,813,10/29,AMEX,PREPAID,2025-12-28,04:30:29,2025-12-28T04:30:29.670732,22982.95,INR,18550.89,INR,21.0,PREAUTH,20000.0,CITI439563,,5732.0,,Kochi,,GBR,318879.0,"82
Sankar Road",TRM84215,90.0,0.0,N,A469KS,96,,2025-12-28,Y,,Y,CITI0001,453244.0,453245,VISA297715165,139.41,,26.87,REF000000000015,15.0,B2366,2025-12-29,100.0,,,1.0,CITI,CITI_BANK,2026-01-05T04:30:29.670732
,AUTH00000016,946528******6623,946528,6623,03/29,AMEX,PREPAID,2025-11-20,04:30:29,2025-11-20T04:30:29.670732,11061.9,INR,11046.93,,1.0,CASH_WITHDRAWAL,10000.0,CITI883442,Sarraf-Hayer,6011.0,,,,USA,,,TRM45332,2.0,6.0,N,A653WA,0,,2025-11-20,,M,N,CITI0001,453243.0,946528,VISA967245277,35.55,,10.53,REF000000000016,16.0,B7494,2025-11-21,19.0,,Y,2.0,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI-17,,999999******9999,999999,9999,07/29,AMEX,DEBIT,2025-11-08,04:30:29,2025-11-08T04:30:29.670732,20294.84,EUR,,,21.0,REFUND,0.0,CITI746875,"Pant, Merchant and Hans",5691.0,,,Sikkim,IND,,,TRM21032,90.0,2.0,N,A246VW,81,,2025-11-08,,U,,CITI0001,453245.0,999999,VISA843018201,,14.93,15.07,REF000000000017,17.0,,2025-11-11,,MEDIUM,U,2.2,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000018,AUTH00000018,698715******1263,698715,1263,05/28,VISA,CREDIT,2026-11-03,04:30:29,2026-11-03T04:30:29.670732,1773.25,INR,,,1.0,,90000.0,CITI319899,,,,Hyderabad,,ARE,844664.0,,TRM80307,2.0,6.0,Y,A365QZ,0,,2026-11-03,A,M,Y,CITI0001,453241.0,698715,VISA889227000,,31.08,20.22,REF000000000018,18.0,B9854,2026-11-06,76.0,LOW,U,,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000019,AUTH00000019,453245******3980,453245,3980,11/28,DISCOVER,PREPAID,2025-12-05,04:30:29,2025-12-05T04:30:29.670732,21346.05,INR,,,20.0,,90000.0,CITI302958,Chowdhury PLC,5732.0,,Pune,,ARE,342787.0,,TRM83691,90.0,8.0,Y,,0,,2025-12-05,A,N,N,CITI0001,453245.0,453245,VISA985007593,,,26.64,REF000000000019,19.0,B4149,2025-12-08,18.0,HIGH,,2.0,CITI,CITI_BANK,2026-01-05T04:30:29.670732
,AUTH00000020,453243******8199,453243,8199,09/20,MASTERCARD,DEBIT,2025-12-29,25:00:00,2025-12-29T04:30:29.670732,18968.41,INR,,,1.0,REFUND,90000.0,CITI725601,"Jain, Agarwal and Vig",0.0,,Delhi,Jharkhand,ARE,802713.0,,TRM44121,2.0,,N,A287NQ,0,,2025-12-29,N,M,N,CITI0001,453246.0,453243,VISA579771604,40.37,,,REF000000000020,20.0,,2025-12-31,41.0,,U,1.0,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000021,AUTH00000021,453243******3833,453243,3833,08/31,VISA,CREDIT,2025-12-27,04:30:29,2025-12-27T04:30:29.670732,10359.32,INR,,,1.0,CASH_WITHDRAWAL,90000.0,CITI240088,"Saha, Sidhu and Wali",4900.0,,Delhi,,ARE,214317.0,,TRM98639,2.0,8.0,N,A994MV,0,,2025-12-27,R,,N,CITI0001,453242.0,453243,VISA854299978,27.25,,1.23,REF000000000021,21.0,B4380,2025-12-29,,,,2.0,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000022,AUTH00000022,453245******4192,453245,4192,05/31,VISA,PREPAID,2025-11-25,04:30:29,2025-11-25T04:30:29.670732,21861.19,INR,,,1.0,REFUND,0.0,CITI884655,Cheema LLC,5541.0,,Chennai,Assam,GBR,191283.0,"H.No. 645, Merchant Circle",TRM53073,81.0,0.0,N,A316ZY,0,,2025-11-25,A,U,,CITI0001,453245.0,453245,VISA174334692,,,5.09,REF000000000022,22.0,B6638,2025-11-26,,,,,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000023CITI0000000023,AUTH00000023,000000******0000,0,0,08/99,AMEX,CR,2025-12-06,00:00:00,2025-12-06T04:30:29.670732,6632.01,INR,,,21.0,CASH_WITHDRAWAL,90000.0,UNKNOWN,Lanka Group,5812.0,,,Karnataka,USA,176189.0,,,81.0,2.0,N,A227SS,0,,2025-12-06,,,N,CITI0001,453241.0,0,VISA616419334,,,9.15,REF000000000023,23.0,,2025-12-08,90.0,LOW,A,1.0,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI,AUTH00000024,407979******5917,407979,5917,07/26,AMEX,CREDIT,2025-12-31,04:30:29,2025-12-31T04:30:29.670732,20999.35,INR,,,21.0,CASH_WITHDRAWAL,0.0,CITI695501,Sahota-Gola,5921.0,,Kochi,,,,"H.No. 34
Raja Chowk",TRM96646,81.0,8.0,Y,,0,,2025-12-31,N,U,N,CITI0001,453243.0,407979,VISA571101179,54.78,,8.36,REF000000000024,24.0,B8223,2026-01-01,,,,2.1,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000025,AUTH00000025,453242******8276,453242,8276,03/30,DISCOVER,DEBIT,2025-11-21,04:30:29,2025-11-21T04:30:29.670732,1534.26,INR,10159.81,,9.0,CASH_WITHDRAWAL,0.0,CITI283450,Srinivas PLC,5814.0,,Kolkata,Rajasthan,USA,,"21/837
Aurora Circle",TRM37690,10.0,1.0,N,A157EV,0,,2025-11-21,S,U,Y,CITI0001,453245.0,453242,VISA233743475,,43.84,,REF000000000025,25.0,,2025-11-23,,,Y,,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000026,AUTH00000026,453244******7842,453244,7842,05/31,DISCOVER,DEBIT,2025-12-01,04:30:29,2025-12-01T04:30:29.670732,10642.17,INR,,,0.0,PREAUTH,10000.0,CITI999417,"Agrawal, Walia and Maharaj",5999.0,,Bhopal,Rajasthan,SGP,434238.0,,TRM45119,2.0,0.0,N,A095AQ,54,,2025-12-01,N,U,N,CITI0001,453246.0,453244,VISA138345548,96.84,9.54,7.12,REF000000000026,26.0,B5960,2025-12-04,6.0,,,2.0,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000027,AUTH00000027,453241******8848,453241,8848,04/30,DISCOVER,CREDIT,2025-11-30,04:30:29,2025-11-30T04:30:29.670732,4956.38,INR,,,0.0,PURCHASE,90000.0,CITI531280,Deshpande PLC,5541.0,,,,ARE,744878.0,,TRM45784,90.0,2.0,N,A060DV,0,,2025-11-30,E,M,,CITI0001,453245.0,453241,VISA405303452,116.74,35.87,25.37,REF000000000027,27.0,B4333,2025-12-03,,HIGH,,2.2,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000028,AUTH00000028,453241******5840,453241,5840,09/31,MASTERCARD,DEBIT,2025-11-18,04:30:29,2025-11-18T04:30:29.670732,1058.98,INR,,,1.0,REFUND,0.0,CITI759421,"Karpe, Master and Dutt",,,Indore,,USA,951996.0,,TRM18978,10.0,8.0,N,A706OZ,91,,2025-11-18,A,,N,CITI0001,453246.0,453241,VISA979590633,62.98,,5.65,REF000000000028,28.0,B3248,2025-11-21,,HIGH,Y,2.0,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000029,AUTH00000029,453243******2018,453243,2018,10/30,VISA,DEBIT,2021-04-15,04:30:29,2021-04-15T04:30:29.670732,1815.31,INR,14348.95,INR,9.0,REFUND,20000.0,CITI198476,Dada Group,7523.0,,,Goa,ARE,536062.0,,TRM98013,2.0,6.0,Y,,5,,2021-04-15,U,S,Y,CITI0001,453241.0,453243,VISA378083037,124.17,,,REF000000000029,29.0,B5774,2021-04-16,6.0,,U,1.0,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000030,AUTH00000030,453246******0288,453246,288,08/32,MASTERCARD,DEBIT,2026-11-11,04:30:29,2026-11-11T04:30:29.670732,5908.86,GBP,,INR,20.0,CASH_WITHDRAWAL,20000.0,CITI500458,Majumdar-Patla,6011.0,,Delhi,Assam,ARE,597497.0,,TRM96497,90.0,1.0,Y,A838LS,0,,2026-11-11,A,S,,CITI0001,453241.0,453246,VISA758807428,57.37,49.2,5.98,REF000000000030,30.0,B9258,2026-11-13,88.0,HIGH,Y,2.1,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000031,AUTH00000031,453243******0836,453243,836,12/32,AMEX,CREDIT,2025-11-12,04:30:29,2025-11-12T04:30:29.670732,21492.44,INR,,,1.0,VOID,20000.0,CITI783760,Warrior-Bumb,5661.0,,Mumbai,Telangana,GBR,348771.0,"22/281, Varghese Nagar",TRM52485,81.0,1.0,Y,,14,,2025-11-12,,,N,CITI0001,453242.0,453243,VISA612105448,160.48,34.83,10.26,REF000000000031,31.0,B8202,2025-11-14,42.0,LOW,N,1.0,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000032CITI0000000032,A32,999999******9999,999999,9999,04/32,MASTERCARD,DEBIT,2025-12-22,04:30:29,2025-12-22T04:30:29.670732,20035.01,INR,,,21.0,REFUND,0.0,CITI717791,"Raghavan, Ganesan and Pandya",5661.0,,Lucknow,West Bengal,IND,,,TRM86877,90.0,6.0,Y,A399WN,0,,2025-12-22,,,Y,CITI0001,453245.0,999999,VISA713929614,,,2.51,REF000000000032,32.0,B4312,2025-12-25,76.0,,Y,2.2,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000033,AUTH00000033,453241******6690,453241,6690,08/30,MASTERCARD,PREPAID,2025-11-06,04:30:29,2025-11-06T04:30:29.670732,19330.82,INR,,,9.0,REFUND,20000.0,CITI934675,,7011.0,,,,IND,283001.0,,TRM92493,2.0,8.0,N,A250VZ,0,,2025-11-06,U,,,CITI0001,453241.0,453241,VISA216043415,,,17.74,REF000000000033,33.0,B2993,2025-11-07,17.0,MEDIUM,N,,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000034CITI0000000034,,453246******7144,453246,7144,01/23,VISA,PREPAID,2025-12-20,04:30:29,2025-12-20T04:30:29.670732,3316.29,INR,,,1.0,CASH_WITHDRAWAL,0.0,CITI471138,"Sarin, Guha and Mohanty",5813.0,,Jaipur,Goa,IND,471377.0,N/A,TRM30562,81.0,2.0,YES,A127PH,51,,2025-12-20,E,U,N,CITI0001,453245.0,453246,ERROR,142.84,,,REF000000000034,34.0,,2025-12-23,56.0,,U,2.0,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000035,AUTH00000035,453244******8606,453244,8606,01/26,VISA,CREDIT,2025-12-26,04:30:29,2025-12-26T04:30:29.670732,10823.58,INR,11387.31,,20.0,CASH_WITHDRAWAL,0.0,CITI609642,,,,Lucknow,,GBR,358982.0,,TRM60720,90.0,1.0,Y,A036RY,0,,2025-12-26,Y,N,Y,CITI0001,453242.0,453244,VISA587828454,,,8.79,REF000000000035,35.0,,2025-12-29,80.0,LOW,,,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI0000000036,AUTH00000036,453246******5913,453246,5913,10/30,VISA,DEBIT,2025-12-06,04:30:29,2025-12-06T04:30:29.670732,1250.97,AED,,,20.0,VOID,0.0,CITI791609,Keer PLC,4121.0,,Indore,,ARE,291158.0,"91/227
Kulkarni Path",TRM68763,10.0,1.0,N,A590LZ,0,,2025-12-06,N,U,N,CITI0001,453243.0,453246,VISA766930213,,36.56,29.16,REF000000000036,36.0,B9072,2025-12-09,25.0,LOW,A,2.2,CITI,CITI_BANK,2026-01-05T04:30:29.670732
CITI,AUTH00000037,999999******9999,999999,9999,03/32,MASTERCARD,PREPAID,2025-11-26,04:30:29,2025-11-26T04:30:29.670732,15439.53,INR,,,21.0,PREAUTH,10000.0,,Mital and Sons,4121.0,,Delhi,,GBR,,"H.No. 484, Dasgupta Road",TRM43768,7.0,2.0,N,A761CW,0,,2025-11-26,N,M,N,CITI0001,453243.0,999999,VISA616465626,,,29.18,000000000000,37.0,,2025-11-28,,,,,CITI,CITI_BANK,2026-01-05T04:30:29.676345
CITI0000000038,AUTH00000038,999999******9999,999999,9999,09/32,AMEX,PREPAID,2025-11-08,04:30:29,2025-11-08T04:30:29.676345,17512.69,INR,,,21.0,,20000.0,,,5661.0,,Lucknow,Goa,IND,329756.0,"H.No. 50
Madan Marg",TRM96500,81.0,1.0,Y,A938JS,77,,2025-11-08,,U,N,CITI0001,453241.0,999999,VISA181161219,108.26,12.03,22.88,REF000000000038,38.0,B3309,2025-11-09,999.0,,,2.0,CITI,CITI_BANK,2026-01-05T04:30:29.676345
,AUTH00000039,787688******1189,787688,1189,06/26,MASTERCARD,DEBIT,2025-11-15,04:30:29,2025-11-15T04:30:29.676345,,INR,,,21.0,VOID,0.0,CITI944982,"Badami, Mani and Ratta",,,Nagpur,Maharashtra,SGP,,,TRM38900,7.0,8.0,N,A832HA,87,,2025-11-15,Y,,,CITI0001,453246.0,787688,VISA443658974,146.0,,23.75,REF000000000039,39.0,,2025-11-17,,,,,CITI,CITI_BANK,2026-01-05T04:30:29.676345
CITI0000000040,AUTH00000040,453241******1719,453241,1719,02/26,VISA,CREDIT,2026-11-14,04:30:29,2026-11-14T04:30:29.676345,17987.49,INR,22007.61,,20.0,PREAUTH,10000.0,CITI522374,Kala and Sons,5411.0,,Kochi,,USA,,,TRM58943,7.0,8.0,N,A429GB,96,,2026-11-14,E,U,N,CITI0001,453242.0,453241,VISA143348754,96.88,39.8,6.39,REF000000000040,40.0,B2742,2026-11-17,,HIGH,,1.0,CITI,CITI_BANK,2026-01-05T04:30:29.676345
CITI,AUTH00000041,7572072,757207,2072,10/32,VISA,,2025-12-06,04:30:29,2025-12-06T04:30:29.676345,6018.88,AED,-128.21,EUR,20.0,CASH_WITHDRAWAL,90000.0,,Balakrishnan and Sons,5691.0,,Chennai,Chhattisgarh,IND,,,TRM88373,90.0,1.0,Y,,0,,2025-12-06,,P,N,CITI0001,453245.0,757207,VISA412225794,75.28,15.63,,,41.0,B5884,2025-12-08,,MEDIUM,U,1.0,CITI,CITI_BANK,2026-01-05T04:30:29.676345
CITI0000000042,AUTH00000042,453241******7777,453241,7777,02/32,MASTERCARD,DEBIT,2025-11-25,04:30:29,2025-11-25T04:30:29.676345,12596.39,INR,,,9.0,VOID,20000.0,CITI533040,Mital Inc,,,Pune,Himachal Pradesh,USA,229414.0,,TRM64415,90.0,6.0,Y,A296JA,0,,2025-11-25,A,,N,CITI0001,453244.0,453241,VISA268126837,,47.05,1.6,REF000000000042,42.0,B2109,2025-11-28,,LOW,A,,CITI,CITI_BANK,2026-01-05T04:30:29.676345
CITI0000000043,AUTH00000043,453246******3070,453246,3070,09/28,AMEX,PREPAID,2025-11-14,04:30:29,2025-11-14T04:30:29.676345,12260.75,INR,23673.27,USD,21.0,CASH_WITHDRAWAL,90000.0,CITI354260,"Banik, Thakur and Randhawa",5942.0,,Bangalore,,GBR,809599.0,,TRM36699,7.0,6.0,Y,A712LO,0,,2025-11-14,P,,,CITI0001,453244.0,453246,VISA884309986,,25.43,,REF000000000043,43.0,B2411,2025-11-15,,LOW,,,CITI,CITI_BANK,2026-01-05T04:30:29.676345
CITI0000000044,AUTH00000044,000000******0000,0,0,03/28,AMEX,CREDIT,2025-12-09,04:30:29,2025-12-09T04:30:29.676345,2233.17,INR,,,9.0,REFUND,10000.0,CITI181134,Saran-Deo,5411.0,,Chandigarh,,SGP,237630.0,,TRM81927,81.0,8.0,Y,A791XG,43,,2025-12-09,A,P,N,CITI0001,453246.0,0,VISA361897755,,,,REF000000000044,44.0,B3275,2025-12-11,87.0,HIGH,,2.0,CITI,CITI_BANK,2026-01-05T04:30:29.676345
CITI0000000045,AUTH00000045,999999******9999,999999,9999,12/26,AMEX,CREDIT,2025-11-16,04:30:29,2025-11-16T04:30:29.676345,105.6,INR,17389.32,,0.0,PREAUTH,10000.0,CITI905930,UNKNOWN MERCHANT,5912.0,,Hyderabad,,GBR,,,TRM62982,5.0,1.0,Y,A973TG,0,,2025-11-16,S,,,CITI0001,453246.0,999999,VISA626732899,,19.6,21.81,REF000000000045,45.0,,2025-11-19,68.0,LOW,,2.1,CITI,CITI_BANK,2026-01-05T04:30:29.676345
,AUTH00000046,879641******9585,879641,9585,05/31,MASTERCARD,CREDIT,2020-11-17,04:30:29,2020-11-17T04:30:29.676345,17607.54,INR,,,9.0,,90000.0,CITI914919,Jaggi-Ghose,7011.0,,,Chhattisgarh,SGP,123197.0,"32/428
Brahmbhatt Circle",TRM37344,7.0,2.0,N,A338OR,0,,2020-11-17,R,,,CITI0001,453241.0,879641,VISA905197652,92.69,39.13,22.14,REF000000000046,46.0,B7425,2020-11-19,32.0,LOW,A,2.1,CITI,CITI_BANK,2026-01-05T04:30:29.676345
CITI0000000047,AUTH00000047,453243******3052,453243,3052,05/28,MASTERCARD,PREPAID,2025-12-10,04:30:29,2025-12-10T04:30:29.676345,-313.13,INR,21066.46,,21.0,PREAUTH,0.0,CITI118035,"Sama, Rana and Viswanathan",,,Kolkata,,USA,,"459, Tandon Path",TRM60838,2.0,6.0,Y,A310CB,0,,2025-12-10,N,,N,CITI0001,453245.0,453243,VISA689754935,111.91,46.84,11.56,REF000000000047,47.0,,2025-12-11,42.0,,,2.1,CITI,CITI_BANK,2026-01-05T04:30:29.676345
CITI0000000048,AUTH00000048,453246******1141,453246,1141,06/30,MASTERCARD,CREDIT,2025-12-15,04:30:29,2025-12-15T04:30:29.676345,4152.35,INR,,,20.0,,90000.0,,Murty and Sons,5912.0,,Bhopal,Arunachal Pradesh,SGP,874373.0,"440
Wali",TRM17111,10.0,2.0,Y,A435HK,0,,2025-12-15,,U,,CITI0001,453241.0,453246,VISA501008227,148.59,,28.8,REF000000000048,48.0,B4588,2025-12-17,23.0,,Y,,CITI,CITI_BANK,2026-01-05T04:30:29.676345
CITI0000000049,AUTH00000049,453245******1687,453245,1687,01/27,AMEX,CREDIT,2025-11-25,04:30:29,2025-11-25T04:30:29.676345,884.65,INR,,EUR,0.0,VOID,0.0,CITI640246,,5651.0,,Delhi,,ARE,,,TRM92270,10.0,0.0,Y,A562ST,0,,2025-11-25,R,,Y,CITI0001,453244.0,453245,VISA926397150,,,,REF000000000049,49.0,B1035,2025-11-28,,HIGH,A,,CITI,CITI_BANK,2026-01-05T04:30:29.678860
