txn_reference_number,authorization_id,card_number,card_bin,card_last_digits,card_expiry_mmyy,card_type,card_scheme,transaction_date,transaction_time,transaction_timestamp,transaction_amount,transaction_currency,billing_amount,billing_currency,transaction_type_code,transaction_type_desc,processing_code,merchant_id,merchant_name,merchant_category_code,merchant_category_desc,merchant_city,merchant_state,merchant_country,merchant_postal_code,merchant_address,terminal_id,pos_entry_mode,pos_condition_code,card_present_flag,auth_code,response_code,response_message,auth_date,avs_result,cvv_result,cvv_provided,acquirer_id,acquirer_bin,issuer_bin,network_reference,interchange_fee,service_tax,network_fee,retrieval_reference_number,trace_number,batch_number,settlement_date,fraud_score,risk_category,3ds_authenticated,3ds_version,bank_name,data_source,record_created_at
HDFC0000003263,AUTH00003263,453213******6811,453213,6811,12/28,VISA,CREDIT,2025-12-07,23:10:57,2025-12-07T23:10:57.379820,9597.5,INR,,,00,REFUND,000000,HDFC686212,"Sarma, Butala and Raj",5912,,Jaipur,Haryana,IND,240594,,TRM13110,81,00,N,A876LF,91,,2025-12-07,U,U,Y,HDFC0001,453211,453213,VISA639954000,45.53,36.67,6.18,REF000000003263,003263,B6991,2025-12-08,42.0,LOW,Y,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.379820
HDFC0000000386,AUTH00000386,453212******7812,453212,7812,01/28,VISA,CREDIT,2025-12-22,23:10:57,2025-12-22T23:10:57.020572,2447.19,INR,,,00,PURCHASE,000000,HDFC662698,Setty-Biswas,4121,,Jaipur,Haryana,IND,871061,,TRM91539,90,00,Y,A662GB,00,,2025-12-22,P,P,N,HDFC0001,453212,453212,VISA999269991,34.68,11.19,2.66,REF000000000386,000386,B2467,2025-12-23,76.0,MEDIUM,N,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.020572
HDFC0000000235,AUTH00000235,307091******8747,307091,8747,07/29,VISA,CREDIT,2026-01-10,23:10:56,2025-12-12T23:10:56.961175,6969.63,INR,,,21,REFUND,000000,HDFC547567,Suri-Wable,5812,,Ahmedabad,Rajasthan,IND,485570,,TRM54974,90,00,Y,A596NZ,00,,2025-12-12,U,M,Y,HDFC0001,453214,307091,VISA902595907,82.7,7.06,17.72,REF000000000235,000235,B5094,2025-12-13,9.0,,N,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:56.961175
HDFC0000001664,AUTH00001664,453214******5916,453214,5916,01/26,VISA,CREDIT,2025-12-26,23:10:57,2025-12-26T23:10:57.189884,3031.2,INR,,,01,REFUND,000000,HDFC564567,Iyengar Inc,5812,,Ahmedabad,Arunachal Pradesh,IND,386881,,TRM22906,05,00,Y,A716LU,91,,2025-12-26,P,M,Y,HDFC0001,453211,453214,VISA783603020,,44.75,,REF000000001664,001664,B8894,2025-12-27,,HIGH,N,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.189884
HDFC0000000883,AUTH00000883,453214******8525,453214,8525,06/27,VISA,CREDIT,2025-12-28,23:10:57,2025-12-28T23:10:57.099953,811.21,INR,,,21,CASH_WITHDRAWAL,000000,HDFC151151,"Arya, Mangat and Choudhry",5411,,Lucknow,Chhattisgarh,IND,,"09/282, Randhawa Nagar",TRM25148,81,00,N,A678TQ,91,,2025-12-28,P,M,N,HDFC0001,453212,453214,VISA706298377,,34.57,12.78,REF000000000883,000883,B8914,2025-12-29,19.0,HIGH,N,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.099953
HDFC0000000190,AUTH00000190,453212******9316,453212,9316,07/26,VISA,CREDIT,2026-01-03,23:10:56,2026-01-03T23:10:56.956124,5406.01,INR,,,21,CASH_WITHDRAWAL,000000,HDFC251729,Shere Ltd,5814,,Chennai,Uttar Pradesh,IND,730682,,TRM97208,05,00,N,A406QA,00,,2026-01-03,P,U,Y,HDFC0001,453214,453212,VISA412990487,43.9,19.99,5.79,REF000000000190,000190,B4687,2026-01-04,6.0,LOW,N,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:56.957692
HDFC0000000075,AUTH00000075,453213******3530,453213,3530,11/30,VISA,CREDIT,2025-12-15,23:10:56,2025-12-15T23:10:56.940176,6401.22,INR,,,21,REFUND,000000,HDFC475911,"Agarwal, Shere and Sachdev",5661,,Bangalore,Arunachal Pradesh,IND,289934,,TRM71706,02,00,N,A385NW,05,,2025-12-15,P,M,Y,HDFC0001,453213,453213,VISA339796534,37.64,19.91,7.29,REF000000000075,000075,B2929,2025-12-16,81.0,HIGH,Y,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:56.940176
HDFC0000000021,AUTH00000021,453214******4219,453214,4219,11/26,VISA,CREDIT,2025-12-12,23:10:56,2025-12-12T23:10:56.934469,3123.88,INR,,,21,PURCHASE,000000,HDFC707727,Dar-Koshy,5541,,Delhi,Odisha,IND,535686,,TRM27322,81,00,N,A909FA,51,,2025-12-12,A,P,N,HDFC0001,453211,453214,VISA602866993,22.67,43.71,19.64,REF000000000021,000021,B6992,2025-12-13,,MEDIUM,Y,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:56.934469
HDFC0000002017,AUTH00002017,453213******6938,453213,6938,06/26,VISA,CREDIT,2025-12-28,23:10:57,2025-12-28T23:10:57.230811,1498.51,INR,,,20,PURCHASE,000000,HDFC207160,Bail-Wadhwa,4121,,Lucknow,Chhattisgarh,IND,468425,,TRM64569,90,00,N,A770UZ,91,,2025-12-28,Y,U,Y,HDFC0001,453212,453213,VISA608465476,52.09,38.42,,REF000000002017,002017,B2424,2025-12-29,,MEDIUM,Y,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.230811
HDFC0000003849,AUTH00003849,453212******0049,453212,0049,10/30,VISA,CREDIT,2025-12-25,23:10:57,2025-12-25T23:10:57.451988,4894.44,INR,,,20,REFUND,000000,HDFC596076,"Sheth, Jayaraman and Tank",,,Kolkata,,IND,279874,"34/10, Agrawal Nagar",TRM14378,81,00,Y,A665IS,00,,2025-12-25,P,N,N,HDFC0001,453212,453212,VISA549527380,,38.11,12.36,REF000000003849,003849,B4768,2025-12-26,2.0,MEDIUM,Y,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.452494
HDFC0000003169,AUTH00003169,453211******1012,453211,1012,07/30,VISA,CREDIT,2025-12-22,23:10:57,2025-12-22T23:10:57.367340,1833.98,INR,,,01,CASH_WITHDRAWAL,000000,HDFC892465,"Pillai, Keer and Bobal",5411,,Kolkata,Uttarakhand,IND,462912,,TRM65439,81,00,Y,A169LL,05,,2025-12-22,N,N,Y,HDFC0001,453211,453211,VISA480227542,41.19,15.47,11.64,REF000000003169,003169,B2580,2025-12-23,47.0,,Y,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.367340
HDFC0000000198,AUTH00000198,453211******7540,453211,7540,06/26,VISA,CREDIT,2025-12-19,23:10:56,2025-12-19T23:10:56.958397,101.29,INR,,,01,CASH_WITHDRAWAL,000000,HDFC471754,"Gill, Sane and Tandon",,,Pune,Arunachal Pradesh,IND,,"68/566
Mital Street",TRM30147,90,00,Y,A628EP,00,,2025-12-19,N,P,Y,HDFC0001,453214,453211,VISA524513309,42.8,29.14,19.81,REF000000000198,000198,B8198,2025-12-20,,MEDIUM,Y,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:56.958397
HDFC0000000877,AUTH00000877,453212******3169,453212,3169,02/28,VISA,CREDIT,2026-01-03,23:10:57,2026-01-03T23:10:57.098848,572.22,INR,,,01,PURCHASE,000000,HDFC210523,"Korpal, Rajagopal and Sahota",,,Ahmedabad,Nagaland,IND,731311,"87/88
Rajagopalan Ganj",TRM48679,81,00,N,A196HK,51,,2026-01-03,Y,P,Y,HDFC0001,453213,453212,VISA130968160,63.82,5.26,16.65,REF000000000877,000877,B7767,2026-01-04,29.0,LOW,N,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.099953
HDFC0000002716,AUTH00002716,453211******6035,453211,6035,08/30,VISA,CREDIT,2025-12-13,23:10:57,2025-12-13T23:10:57.311046,8082.54,INR,,,20,CASH_WITHDRAWAL,000000,HDFC313047,Rajagopalan-Bhatnagar,5912,,Pune,Rajasthan,IND,645979,"H.No. 236, Dada Road",TRM68980,02,00,Y,A693BG,51,,2025-12-13,Y,P,N,HDFC0001,453214,453211,VISA691453266,44.57,8.98,,REF000000002716,002716,B6001,2025-12-14,,MEDIUM,N,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.311046
HDFC0000003321,AUTH00003321,453213******0368,453213,0368,07/27,VISA,CREDIT,2025-12-23,23:10:57,2025-12-23T23:10:57.386456,8566.16,INR,,,20,CASH_WITHDRAWAL,000000,HDFC254333,"Bajwa, Bedi and Sarma",5942,,Kolkata,,IND,476952,,TRM98815,02,00,N,A824TZ,05,,2025-12-23,N,P,N,HDFC0001,453212,453213,VISA323424544,99.1,15.38,17.03,REF000000003321,003321,B9869,2025-12-24,50.0,HIGH,N,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.386456
HDFC0000002429,AUTH00002429,453211******2584,453211,2584,07/29,VISA,CREDIT,2025-12-26,23:10:57,2025-12-26T23:10:57.280044,6817.05,INR,,,01,REFUND,000000,HDFC135133,Sen-Gokhale,5942,,Pune,Telangana,IND,857676,,TRM92981,05,00,Y,A616MT,00,,2025-12-26,P,N,Y,HDFC0001,453214,453211,VISA429314741,55.11,38.08,18.16,REF000000002429,002429,B5885,2025-12-27,3.0,LOW,Y,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.280044
HDFC0000002157,AUTH00002157,453214******4380,453214,4380,11/28,VISA,CREDIT,2025-12-20,23:10:57,2025-12-20T23:10:57.245930,1593.7,INR,,,01,PURCHASE,000000,HDFC721994,Sharaf-Sinha,5732,,Lucknow,Jharkhand,IND,349797,"59
Comar Path",TRM80900,90,00,Y,A418BV,91,,2025-12-20,A,N,N,HDFC0001,453212,453214,VISA455422445,56.56,41.24,17.32,REF000000002157,002157,B2549,2025-12-21,,,N,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.245930
HDFC0000002657,AUTH00002657,453212******9751,453212,9751,03/29,VISA,CREDIT,2025-12-22,23:10:57,2025-12-22T23:10:57.304913,4093.92,INR,,,20,REFUND,000000,HDFC526428,Tiwari Inc,4121,,Mumbai,Telangana,IND,502545,"H.No. 014, Char Marg",TRM47577,81,00,N,A039JF,05,,2025-12-22,A,M,Y,HDFC0001,453212,453212,VISA110410221,53.64,,14.95,REF000000002657,002657,B4591,2025-12-23,14.0,HIGH,Y,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.304913
HDFC0000001202,AUTH00001202,453213******8560,453213,8560,07/28,VISA,CREDIT,2025-12-12,23:10:57,2025-12-12T23:10:57.136825,2598.05,INR,,,01,CASH_WITHDRAWAL,000000,HDFC584675,Baria-Korpal,5812,,Bangalore,Nagaland,IND,674939,"40/733, Kara Ganj",TRM26280,05,00,N,A732AS,91,,2025-12-12,N,N,Y,HDFC0001,453211,453213,VISA742336437,66.54,27.07,4.17,REF000000001202,001202,B7943,2025-12-13,,LOW,N,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.136825
HDFC0000001396,AUTH00001396,453214******0605,453214,0605,08/27,VISA,CREDIT,2026-01-02,23:10:57,2026-01-02T23:10:57.160188,5003.69,INR,,,21,PURCHASE,000000,HDFC925859,"Kashyap, Murty and Kapoor",5912,,Hyderabad,Manipur,IND,371417,"H.No. 03
Kumar",TRM66686,90,00,N,A640HO,91,,2026-01-02,Y,U,N,HDFC0001,453211,453214,VISA267956456,,,15.34,REF000000001396,001396,B3083,2026-01-03,32.0,HIGH,N,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.160188
HDFC0000000025,AUTH00000025,453212******6568,453212,6568,12/26,VISA,CREDIT,2025-12-12,23:10:56,2025-12-12T23:10:56.935472,9685.57,INR,,,20,CASH_WITHDRAWAL,000000,HDFC208633,Lalla Inc,5732,,Bangalore,Bihar,IND,213475,,TRM82910,81,00,Y,A824SM,05,,2025-12-12,A,M,N,HDFC0001,453211,453212,VISA293720285,78.62,20.8,,REF000000000025,000025,B3347,2025-12-13,51.0,,Y,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:56.935472
HDFC0000002801,AUTH00002801,453211******7052,453211,7052,04/28,VISA,CREDIT,2025-12-20,23:10:57,2025-12-20T23:10:57.320783,7577.43,INR,,,01,REFUND,000000,HDFC238223,Arora Ltd,5541,,Hyderabad,Goa,IND,,"H.No. 99
Luthra Chowk",TRM62222,81,00,Y,A753MB,05,,2025-12-20,A,P,N,HDFC0001,453211,453211,VISA105084862,32.4,,19.93,REF000000002801,002801,B4234,2025-12-21,72.0,,Y,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.320783
HDFC0000003202,AUTH00003202,453212******3988,453212,3988,08/29,VISA,CREDIT,2026-01-04,23:10:57,2026-01-04T23:10:57.371367,2736.15,INR,,,20,PURCHASE,000000,HDFC256837,Mahajan-Dixit,5691,,Pune,Maharashtra,IND,680181,,TRM50684,05,00,Y,A244FD,91,,2026-01-04,U,U,N,HDFC0001,453211,453212,VISA833305070,22.92,47.58,12.54,REF000000003202,003202,B6012,2026-01-05,,,Y,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.371367
HDFC0000002909,AUTH00002909,453212******5232,453212,5232,09/26,VISA,CREDIT,2025-12-18,23:10:57,2025-12-18T23:10:57.335843,9793.38,INR,,,21,CASH_WITHDRAWAL,000000,HDFC542214,Kalita and Sons,5661,,Delhi,West Bengal,IND,969838,,TRM18796,81,00,Y,A645KX,91,,2025-12-18,N,P,N,HDFC0001,453212,453212,VISA748690777,49.85,21.91,14.67,REF000000002909,002909,B1092,2025-12-19,59.0,LOW,Y,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.335843
HDFC0000001390,AUTH00001390,453212******6492,453212,6492,08/26,VISA,CREDIT,2026-01-04,23:10:57,2026-01-04T23:10:57.157574,8442.04,INR,,,01,REFUND,000000,HDFC229870,"Mittal, Kadakia and Solanki",5942,,Jaipur,Rajasthan,IND,333640,,TRM57099,02,00,Y,A052ZM,05,,2026-01-04,Y,N,N,HDFC0001,453214,453212,VISA642326453,27.75,,5.17,REF000000001390,001390,B1818,2026-01-05,88.0,,N,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.157574
HDFC0000000280,AUTH00000280,453214******2155,453214,2155,05/26,VISA,CREDIT,2025-12-19,23:10:56,2025-12-19T23:10:56.965836,3845.94,INR,,,20,PURCHASE,000000,HDFC757350,"Korpal, Merchant and Tara",5942,,Bangalore,Maharashtra,IND,933047,"H.No. 146
Saini Street",TRM48155,02,00,Y,,51,,2025-12-19,N,U,N,HDFC0001,453214,453214,VISA160830178,87.87,37.58,6.53,REF000000000280,000280,B9320,2025-12-20,85.0,MEDIUM,Y,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:56.965836
HDFC0000001255,AUTH00001255,123335******6095,123335,6095,02/28,VISA,CREDIT,2025-12-09,23:10:57,2025-12-09T23:10:57.141050,6649.97,INR,,,21,PURCHASE,000000,HDFC669417,Sengupta Ltd,5912,,Pune,Assam,IND,297891,"10/21
Borde Ganj",TRM54410,90,00,N,A251JK,91,,2025-12-09,U,P,Y,HDFC0001,453212,123335,VISA862078164,37.86,37.66,4.91,REF000000001255,001255,B7387,2025-12-10,24.0,MEDIUM,N,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.144757
HDFC0000000295,AUTH00000295,453212******7673,453212,7673,03/26,VISA,CREDIT,2025-12-27,23:10:56,2025-12-27T23:10:56.970033,5882.44,INR,,,20,CASH_WITHDRAWAL,000000,HDFC713302,Saraf and Sons,5311,,Mumbai,Arunachal Pradesh,IND,694315,,TRM54535,05,00,N,,05,,2025-12-27,U,P,N,HDFC0001,453212,453212,VISA219155077,81.19,48.27,14.81,REF000000000295,000295,B2361,2025-12-28,63.0,,N,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:56.970033
HDFC0000003531,AUTH00003531,453212******1602,453212,1602,10/28,VISA,CREDIT,2025-12-26,23:10:57,2025-12-26T23:10:57.410032,9981.12,INR,,,00,REFUND,000000,HDFC835983,Jha-Ratti,5942,,Chennai,Nagaland,IND,721433,"H.No. 804, Taneja Zila",TRM23582,05,00,Y,A569OR,91,,2025-12-26,U,U,N,HDFC0001,453212,453212,VISA166198437,30.83,,11.44,REF000000003531,003531,B6783,2025-12-27,22.0,,N,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.410032
HDFC0000000554,AUTH00000554,453212******1627,453212,1627,08/29,VISA,CREDIT,2025-12-31,23:10:57,2025-12-31T23:10:57.051554,1760.38,INR,,,01,PURCHASE,000000,HDFC545764,Goda-Dutta,5311,,Jaipur,Sikkim,IND,697558,"H.No. 543, Krishnamurthy Marg",TRM35521,90,00,N,,91,,2025-12-31,P,N,Y,HDFC0001,453211,453212,VISA598000979,62.54,30.45,,REF000000000554,000554,B6299,2026-01-01,61.0,LOW,N,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.051554
HDFC0000000629,AUTH00000629,453212******0813,453212,0813,03/27,VISA,CREDIT,2026-01-01,23:10:57,2026-01-01T23:10:57.069357,5812.19,INR,,,21,REFUND,000000,HDFC680203,Sarin-Sami,5814,,Ahmedabad,Rajasthan,IND,,"242, Kuruvilla Nagar",TRM35388,90,00,Y,A482PC,91,,2026-01-01,A,P,N,HDFC0001,453213,453212,VISA425269662,,,6.67,REF000000000629,000629,B3444,2026-01-02,,MEDIUM,Y,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.069357
HDFC0000000058,AUTH00000058,453214******8635,453214,8635,07/27,VISA,CREDIT,2025-12-24,23:10:56,2025-12-24T23:10:56.938172,4972.41,INR,,,20,CASH_WITHDRAWAL,000000,HDFC454161,Solanki-Wali,5541,,Lucknow,Kerala,IND,815707,"85/574
Krishnamurthy Road",TRM16021,05,00,N,,05,,2025-12-24,A,U,Y,HDFC0001,453214,453214,VISA317237515,91.85,18.58,17.78,REF000000000058,000058,B2529,2025-12-25,32.0,,Y,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:56.938172
HDFC0000003219,AUTH00003219,453212******5435,453212,5435,07/27,VISA,CREDIT,2026-01-06,23:10:57,2025-12-28T23:10:57.373860,9832.4,INR,,,00,PURCHASE,000000,HDFC520058,"Trivedi, Chakrabarti and Seshadri",5732,,Hyderabad,Uttar Pradesh,IND,377033,"H.No. 44, Parmar Street",TRM29438,02,00,N,A247FF,00,,2025-12-28,P,M,N,HDFC0001,453211,453212,VISA989930623,,,3.8,REF000000003219,003219,B2639,2025-12-29,,LOW,Y,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.373860
HDFC0000000387,AUTH00000387,453214******1873,453214,1873,01/29,VISA,CREDIT,2025-12-18,23:10:57,2025-12-18T23:10:57.020572,9203.51,INR,,,01,REFUND,000000,HDFC320295,Virk PLC,4121,,Jaipur,Sikkim,IND,684104,"912
Barad Chowk",TRM31991,02,00,Y,,00,,2025-12-18,Y,N,Y,HDFC0001,453212,453214,VISA102268385,,22.37,4.06,REF000000000387,000387,B1488,2025-12-19,80.0,HIGH,N,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.020572
HDFC0000003508,AUTH00003508,453212******1426,453212,1426,09/28,VISA,CREDIT,2025-12-14,23:10:57,2025-12-14T23:10:57.407828,8849.39,INR,,,20,CASH_WITHDRAWAL,000000,HDFC577527,"Gandhi, Master and Gokhale",5921,,Ahmedabad,Goa,IND,339687,,TRM40526,90,00,Y,A028QJ,00,,2025-12-14,A,P,N,HDFC0001,453211,453212,VISA148454970,26.34,29.18,4.71,REF000000003508,003508,B1881,2025-12-15,79.0,LOW,Y,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.407828
HDFC0000003111,AUTH00003111,453214******1849,453214,1849,01/29,VISA,CREDIT,2025-12-31,23:10:57,2025-12-31T23:10:57.360379,-7995.53,INR,,,01,CASH_WITHDRAWAL,000000,HDFC600674,Bedi PLC,5812,,Delhi,Haryana,IND,384856,"H.No. 65, Kapur Ganj",TRM17002,81,00,N,A633AU,05,,2025-12-31,P,U,N,HDFC0001,453211,453214,VISA190782452,24.76,36.8,11.14,REF000000003111,003111,B8077,2026-01-01,75.0,LOW,Y,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.360379
HDFC0000002399,AUTH00002399,453213******9069,453213,9069,12/28,VISA,CREDIT,2025-12-16,23:10:57,2025-12-16T23:10:57.273933,9734.89,INR,,,20,REFUND,000000,HDFC859857,Bhatt-Seth,5912,,Pune,Gujarat,IND,552723,"16/29, Bera Zila",TRM79316,81,00,N,A873NJ,51,,2025-12-16,Y,P,N,HDFC0001,453214,453213,VISA880917545,81.54,,12.62,REF000000002399,002399,B9184,2025-12-17,24.0,LOW,Y,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.273933
HDFC0000001567,AUTH00001567,453212******3525,453212,3525,08/26,VISA,CREDIT,2026-01-07,23:10:57,2025-12-11T23:10:57.176035,4222.12,INR,,,21,CASH_WITHDRAWAL,000000,HDFC778447,Srinivas and Sons,5812,,Kolkata,Nagaland,IND,405616,,TRM61859,05,00,N,A740KM,00,,2025-12-11,N,N,N,HDFC0001,453212,453212,VISA295623260,16.26,34.44,14.86,REF000000001567,001567,B3489,2025-12-12,95.0,,Y,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.176035
